epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,4400.14,1.35039,0.46528,0.00419,0.96273,0.94848,0.98272,0.66989,1.26065,0.38601,0.00356,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,4472.81,1.331,0.46005,0.00411,0.96652,0.94262,0.98164,0.67039,1.24901,0.3836,0.00352,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,4545.18,1.3419,0.46685,0.00413,0.95209,0.96579,0.98363,0.66763,1.25149,0.3841,0.00353,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,4618.21,1.33999,0.45327,0.0041,0.94709,0.95368,0.98224,0.66657,1.2663,0.38257,0.00357,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,4691.04,1.32279,0.45459,0.00408,0.95769,0.95414,0.98202,0.66891,1.25536,0.385,0.00354,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,4762.91,1.32249,0.45946,0.00402,0.96295,0.94848,0.98248,0.67191,1.24103,0.39444,0.00348,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,4836.91,1.31204,0.45194,0.00402,0.96012,0.94789,0.98114,0.67311,1.22751,0.39227,0.00345,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,4909.44,1.30329,0.43907,0.00396,0.96195,0.94742,0.98301,0.67474,1.23703,0.38151,0.00348,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,4982.2,1.30438,0.44245,0.00399,0.95736,0.95316,0.98066,0.67457,1.23202,0.37985,0.00347,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,5054.99,1.29868,0.44628,0.004,0.95826,0.95443,0.98314,0.67103,1.24071,0.3879,0.00349,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,5128.5,1.29985,0.44122,0.00396,0.95752,0.95028,0.98139,0.67153,1.23714,0.38642,0.00348,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,5201.58,1.28796,0.4593,0.00393,0.95705,0.95023,0.98235,0.67201,1.23752,0.38783,0.00348,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,5274.08,1.29035,0.43838,0.00393,0.95793,0.94663,0.9824,0.67207,1.23133,0.38384,0.00345,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,5345.88,1.2738,0.4434,0.00382,0.96262,0.94789,0.98276,0.67239,1.23943,0.38108,0.00348,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,5419.57,1.26576,0.42048,0.00385,0.96033,0.95375,0.98161,0.67496,1.23866,0.37528,0.00348,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,5491.83,1.26822,0.43239,0.00386,0.96497,0.95167,0.98307,0.67564,1.22921,0.37856,0.00344,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,5564.94,1.26172,0.43206,0.00381,0.96852,0.95082,0.98468,0.67324,1.23104,0.37825,0.00343,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,5637.46,1.26453,0.43219,0.00385,0.96669,0.95144,0.98315,0.67504,1.23473,0.3719,0.00345,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,5711.06,1.25625,0.42351,0.00376,0.96367,0.95199,0.98274,0.67728,1.22518,0.37267,0.00342,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,5783.79,1.25745,0.42986,0.0038,0.96481,0.94848,0.98332,0.67892,1.22641,0.37331,0.00342,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,5856.89,1.25003,0.42323,0.00378,0.96868,0.94789,0.98244,0.67512,1.23266,0.36654,0.00345,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,5929.46,1.24766,0.42067,0.00376,0.97013,0.94965,0.983,0.67595,1.2283,0.37446,0.00344,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,6002.87,1.24362,0.42437,0.00375,0.96881,0.94028,0.98331,0.67565,1.22703,0.37777,0.00344,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,6075.32,1.23516,0.42401,0.00373,0.96719,0.94731,0.98383,0.67696,1.2232,0.37553,0.00342,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,6148.06,1.23486,0.41312,0.00375,0.96864,0.94672,0.98422,0.67836,1.22641,0.37394,0.00342,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,6220.43,1.23362,0.42039,0.00377,0.95239,0.95843,0.98398,0.67926,1.22574,0.37313,0.00342,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,6293.64,1.23193,0.41237,0.00372,0.96786,0.952,0.98397,0.68179,1.22207,0.36977,0.00341,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,6366.76,1.22436,0.40658,0.00373,0.96625,0.95492,0.98402,0.68227,1.22176,0.3679,0.00341,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,6440.15,1.21173,0.40768,0.00363,0.96335,0.95419,0.98349,0.68185,1.21903,0.37051,0.00341,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,6512.29,1.21797,0.40616,0.0037,0.96514,0.95316,0.98377,0.68267,1.22281,0.36712,0.00342,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,6585.81,1.20891,0.40466,0.00364,0.97124,0.94922,0.98366,0.68171,1.2247,0.36801,0.00343,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,6657.7,1.20826,0.40348,0.00362,0.96389,0.95342,0.98382,0.67976,1.22545,0.36967,0.00343,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,6730.19,1.20868,0.40743,0.00364,0.96276,0.95357,0.98336,0.67823,1.22551,0.36992,0.00343,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,6802.37,1.20785,0.39646,0.00365,0.96331,0.95313,0.9832,0.67843,1.22419,0.36913,0.00343,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,6880.94,1.20407,0.39943,0.00366,0.96064,0.95258,0.9835,0.67889,1.2225,0.37007,0.00343,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,6954.19,1.19914,0.41332,0.0036,0.96491,0.95141,0.98394,0.67949,1.22335,0.36908,0.00343,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,7026.98,1.19229,0.41108,0.00357,0.96281,0.95504,0.98389,0.67795,1.22295,0.37242,0.00343,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,7099.59,1.20228,0.41204,0.00358,0.96378,0.95141,0.9841,0.67938,1.22046,0.37151,0.00342,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,7173.33,1.19504,0.4117,0.00359,0.96337,0.95492,0.98335,0.67822,1.21853,0.37384,0.00342,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,7246.51,1.18859,0.39851,0.00356,0.96441,0.94906,0.98344,0.67721,1.2198,0.37168,0.00342,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,7320.21,1.19314,0.40031,0.00357,0.96821,0.94614,0.98353,0.67778,1.22156,0.3705,0.00342,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,7392.8,1.19552,0.40686,0.00353,0.96305,0.95199,0.98365,0.67888,1.21913,0.37234,0.00341,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,7466.79,1.18985,0.40033,0.00353,0.97005,0.94826,0.98407,0.67937,1.21631,0.37205,0.00341,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,7539.82,1.19359,0.4,0.00358,0.97068,0.94614,0.98402,0.68071,1.21628,0.37126,0.00341,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
