epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,3028.38,1.45678,0.52558,0.00458,0.95571,0.94204,0.97492,0.6443,1.34986,0.39275,0.00388,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,3097.79,1.44942,0.5183,0.00459,0.95303,0.94555,0.97339,0.6397,1.35773,0.40227,0.0039,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,3167.35,1.44476,0.4843,0.00459,0.95748,0.94914,0.97672,0.64886,1.33421,0.3881,0.00384,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,3237.1,1.45149,0.49047,0.00456,0.95507,0.9583,0.98003,0.65767,1.30866,0.38583,0.00372,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,3306.84,1.43137,0.52105,0.00451,0.96213,0.93501,0.97729,0.64177,1.32418,0.44851,0.00377,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,3376.79,1.44848,0.51688,0.00454,0.96269,0.94789,0.97716,0.64756,1.33067,0.41927,0.00381,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,3446.43,1.4313,0.51493,0.00448,0.95302,0.94028,0.97117,0.63787,1.33303,0.47358,0.00384,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,3516.12,1.42479,0.50633,0.00444,0.95681,0.93385,0.97166,0.64712,1.32476,0.39936,0.00384,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,3585.91,1.42827,0.49323,0.00446,0.96053,0.94038,0.97347,0.63761,1.37085,0.40853,0.0039,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,3655.87,1.41985,0.4761,0.00443,0.96,0.9397,0.97469,0.65279,1.3183,0.39526,0.00377,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,3725.73,1.4057,0.50422,0.00436,0.95716,0.94179,0.97424,0.6554,1.30131,0.41088,0.00371,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,3795.96,1.40799,0.49072,0.0044,0.95279,0.95258,0.9742,0.65548,1.30214,0.39704,0.0037,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3865.73,1.4061,0.47394,0.00436,0.95702,0.95168,0.97495,0.65065,1.30583,0.39139,0.00371,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,3935.4,1.40097,0.47145,0.00431,0.94453,0.94705,0.97441,0.65503,1.3188,0.39093,0.00374,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,4005.04,1.39856,0.47889,0.00428,0.96035,0.95375,0.9796,0.66386,1.28786,0.37727,0.00365,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
