epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,4528.86,1.36021,0.35291,0.0021,0.92017,0.88368,0.93085,0.2967,3.19356,0.80266,0.00892,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,4601.32,1.35437,0.34951,0.00209,0.90474,0.89121,0.93196,0.3231,3.06778,0.81617,0.00829,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,4670.37,1.3432,0.35092,0.00206,0.90128,0.89121,0.92634,0.2957,3.17258,0.82422,0.00878,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,4740.44,1.33029,0.34082,0.00204,0.91269,0.89121,0.93657,0.32351,3.10117,0.79532,0.00848,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,4808.66,1.32217,0.34226,0.00202,0.91227,0.89038,0.93252,0.29805,3.2233,0.78271,0.00904,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,4881.36,1.30406,0.3371,0.00199,0.92644,0.8958,0.9434,0.30737,3.16964,0.76562,0.00878,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,4951.98,1.29364,0.3365,0.00197,0.92553,0.90479,0.94437,0.30792,3.16079,0.77781,0.00878,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,5022.64,1.28508,0.32728,0.00196,0.9219,0.9046,0.93549,0.30665,3.1667,0.76827,0.00881,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,5093.21,1.28089,0.32307,0.00195,0.92084,0.90962,0.94613,0.30291,3.18476,0.77404,0.0089,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,5163.38,1.26088,0.33083,0.00191,0.91922,0.90209,0.93483,0.29969,3.20214,0.78595,0.00892,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,5233.74,1.25606,0.33533,0.00191,0.92903,0.88201,0.93074,0.29248,3.25339,0.79505,0.00916,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,5306.33,1.24478,0.32799,0.00189,0.91963,0.90959,0.94447,0.31143,3.16247,0.77382,0.00878,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,5376.47,1.2317,0.323,0.00186,0.92303,0.90711,0.94707,0.32159,3.09465,0.75852,0.00851,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,5447.44,1.22703,0.31978,0.00187,0.93704,0.89372,0.94066,0.32438,3.0734,0.74663,0.00842,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,5518.12,1.20478,0.31722,0.00183,0.93879,0.89837,0.94668,0.3203,3.10982,0.74985,0.00855,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,5589.41,1.21154,0.31217,0.00182,0.92156,0.90711,0.93606,0.30577,3.16442,0.77973,0.00875,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,5659.61,1.19751,0.30672,0.00179,0.92522,0.90082,0.93505,0.30658,3.16407,0.77845,0.00875,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,5728.38,1.18005,0.30681,0.00178,0.9433,0.87531,0.93153,0.3115,3.13624,0.77699,0.00863,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,5801.2,1.17473,0.3088,0.00176,0.93758,0.88117,0.94521,0.31491,3.13445,0.77476,0.00863,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,5872.29,1.17458,0.30429,0.00176,0.9375,0.89126,0.94526,0.31729,3.11097,0.76519,0.00855,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,5943.05,1.16646,0.30044,0.00174,0.93923,0.8887,0.94506,0.32162,3.0965,0.75409,0.00849,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,6013.44,1.1497,0.29626,0.00172,0.92922,0.90092,0.94545,0.31847,3.11198,0.76438,0.00855,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,6084.02,1.14826,0.294,0.00172,0.94434,0.89121,0.94755,0.31829,3.10617,0.76935,0.00854,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
